name,displayName,description,module,path,standalone
"market-insight-value-proposition","產品獨特價值主張定義","協助團隊定義產品的獨特價值主張。","mhp","bmad/mhp/tasks/market-insight-value-proposition.xml","false"
"operations-specialist-generate-internal-report","內部或綜合性報告生成","根據專案進度或營運數據生成內部或綜合性報告。","mhp","bmad/mhp/tasks/operations-specialist-generate-internal-report.xml","false"
"operations-specialist-incident-response","事件響應流程建議","提供事件響應流程建議，協助處理系統故障。","mhp","bmad/mhp/tasks/operations-specialist-incident-response.xml","false"
"operations-specialist-qa-audit","品質保證審核","執行品質保證審核，確保產品符合標準。","mhp","bmad/mhp/tasks/operations-specialist-qa-audit.xml","false"
"operations-specialist-system-monitor","系統監控建議","提供系統監控建議，確保系統穩定運行。","mhp","bmad/mhp/tasks/operations-specialist-system-monitor.xml","false"
"operations-specialist-test-plan","測試計畫制定","協助制定測試計畫，包括測試範圍、方法和標準。","mhp","bmad/mhp/tasks/operations-specialist-test-plan.xml","false"
"public-sector-mentor-cross-agency-coord","跨部門協調策略與溝通技巧","提供跨部門協調的策略與溝通技巧。","mhp","bmad/mhp/tasks/public-sector-mentor-cross-agency-coord.xml","false"
"public-sector-mentor-funding-grants","公部門專案資金申請與補助機會資訊","提供公部門專案的資金申請與補助機會資訊。","mhp","bmad/mhp/tasks/public-sector-mentor-funding-grants.xml","false"
"public-sector-mentor-gov-structure","政府組織架構與權責說明","說明政府組織架構與權責，協助團隊找到正確的對接窗口。","mhp","bmad/mhp/tasks/public-sector-mentor-gov-structure.xml","false"
"public-sector-mentor-legal-compliance","法規遵循建議與風險評估","針對解決方案提供法規遵循建議與風險評估。","mhp","bmad/mhp/tasks/public-sector-mentor-legal-compliance.xml","false"
"public-sector-mentor-policy-interpret","政策解讀與影響分析","解讀相關政策文件，提供核心要點與影響分析。","mhp","bmad/mhp/tasks/public-sector-mentor-policy-interpret.xml","false"
"public-sector-mentor-procurement-processes","政府採購流程解釋與合作機制","解釋政府採購流程，協助團隊理解投標與合作機制。","mhp","bmad/mhp/tasks/public-sector-mentor-procurement-processes.xml","false"
"public-sector-mentor-public-value","公共價值與公民需求結合指導","指導如何將解決方案與公共價值和公民需求結合。","mhp","bmad/mhp/tasks/public-sector-mentor-public-value.xml","false"
